Wavelength(nm)	PFD(umol m-2 s-1)
380	0.087367
381	0.089076
382	0.090858
383	0.091776
384	0.092643
385	0.095771
386	0.098745
387	0.100765
388	0.103044
389	0.105996
390	0.108834
391	0.111495
392	0.115154
393	0.119700
394	0.126503
395	0.134491
396	0.141965
397	0.149329
398	0.158831
399	0.168534
400	0.177671
401	0.186827
402	0.195915
403	0.203897
404	0.209359
405	0.213408
406	0.215655
407	0.217944
408	0.220267
409	0.222740
410	0.225280
411	0.228693
412	0.232285
413	0.235153
414	0.238014
415	0.240908
416	0.243506
417	0.245157
418	0.246660
419	0.247914
420	0.248909
421	0.249657
422	0.250059
423	0.250275
424	0.248638
425	0.246496
426	0.245341
427	0.244424
428	0.245860
429	0.247593
430	0.250454
431	0.253467
432	0.256754
433	0.260324
434	0.264188
435	0.270617
436	0.278564
437	0.285318
438	0.291741
439	0.297383
440	0.302918
441	0.307612
442	0.312705
443	0.319262
444	0.326206
445	0.333832
446	0.340159
447	0.345191
448	0.349537
449	0.353520
450	0.357945
451	0.362493
452	0.366970
453	0.371297
454	0.374201
455	0.376914
456	0.379043
457	0.381466
458	0.384318
459	0.386993
460	0.389531
461	0.391252
462	0.392649
463	0.393812
464	0.394937
465	0.395898
466	0.396809
467	0.397503
468	0.398307
469	0.399319
470	0.400663
471	0.402332
472	0.404615
473	0.407209
474	0.410171
475	0.413217
476	0.415992
477	0.418530
478	0.419786
479	0.420346
480	0.419454
481	0.418796
482	0.418382
483	0.418474
484	0.418827
485	0.419159
486	0.419485
487	0.420011
488	0.420737
489	0.422429
490	0.424939
491	0.429002
492	0.432823
493	0.436421
494	0.438327
495	0.439490
496	0.439920
497	0.440244
498	0.440625
499	0.440530
500	0.438842
501	0.438182
502	0.439000
503	0.439839
504	0.440691
505	0.442262
506	0.444042
507	0.445337
508	0.446416
509	0.446356
510	0.445636
511	0.443606
512	0.441755
513	0.440065
514	0.439007
515	0.438197
516	0.438160
517	0.438309
518	0.439433
519	0.440652
520	0.442095
521	0.444210
522	0.447026
523	0.450580
524	0.454476
525	0.457137
526	0.459588
527	0.461429
528	0.463202
529	0.464801
530	0.466778
531	0.469148
532	0.471154
533	0.473005
534	0.473825
535	0.474517
536	0.475064
537	0.475731
538	0.476650
539	0.477557
540	0.478452
541	0.479013
542	0.479459
543	0.480440
544	0.481481
545	0.482693
546	0.483993
547	0.485425
548	0.486347
549	0.486945
550	0.487331
551	0.487658
552	0.487713
553	0.487583
554	0.486982
555	0.486266
556	0.485435
557	0.484738
558	0.484088
559	0.483051
560	0.481966
561	0.480765
562	0.479766
563	0.479048
564	0.478143
565	0.477138
566	0.476049
567	0.474993
568	0.474255
569	0.473323
570	0.472063
571	0.471320
572	0.470907
573	0.470639
574	0.470538
575	0.471766
576	0.473105
577	0.474654
578	0.476234
579	0.477835
580	0.479645
581	0.481460
582	0.482903
583	0.484060
584	0.484675
585	0.484761
586	0.484492
587	0.484361
588	0.484176
589	0.483432
590	0.482824
591	0.482446
592	0.482283
593	0.482240
594	0.483190
595	0.484198
596	0.484978
597	0.485698
598	0.486340
599	0.486815
600	0.487220
601	0.487958
602	0.488589
603	0.488889
604	0.489246
605	0.489654
606	0.490064
607	0.490410
608	0.490101
609	0.489745
610	0.489312
611	0.488761
612	0.488143
613	0.488105
614	0.488179
615	0.488515
616	0.488677
617	0.488673
618	0.488342
619	0.487906
620	0.487247
621	0.486301
622	0.484918
623	0.483400
624	0.481818
625	0.480281
626	0.478928
627	0.478031
628	0.477822
629	0.478078
630	0.479333
631	0.480818
632	0.482750
633	0.485254
634	0.488287
635	0.490942
636	0.493512
637	0.496011
638	0.498041
639	0.499524
640	0.500766
641	0.501827
642	0.501881
643	0.501954
644	0.502053
645	0.502061
646	0.502006
647	0.501568
648	0.500969
649	0.500132
650	0.498290
651	0.496172
652	0.495319
653	0.495034
654	0.495591
655	0.496392
656	0.497321
657	0.498717
658	0.500180
659	0.501736
660	0.504158
661	0.506979
662	0.510821
663	0.514007
664	0.516427
665	0.518123
666	0.519496
667	0.520079
