
 <pre>


 \n INPUT PARAMETERS:\n
 RADIATION SCHEME:            2  streams\n
 w-grid:         461   289.500000       750.500000    
 equally spaced z-grid
 z-grid:          81   0.00000000       80.0000000    
  measurement point: index           1  altitude=   0.00000000    
 idate =     20240623  esfact(1) =   0.967971444    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=   60.2091103      long=   24.9647408      ut=   15.3333330    
 solar zenith angle =    62.1181755    
 \n SPECTRAL IRRADIANCE (W m-2 nm-1):\n
 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 289.50     290.50     6.970E-13  2.549E-11     2.618E-12   2.618E-11
 290.50     291.50     7.898E-12  2.287E-10     2.366E-11   2.366E-10
 291.50     292.51     1.339E-10  3.038E-09     3.171E-10   3.171E-09
 292.51     293.51     8.100E-10  1.589E-08     1.670E-09   1.670E-08
 293.51     294.51     7.173E-09  1.213E-07     1.284E-08   1.284E-07
 294.51     295.51     3.424E-08  5.219E-07     5.562E-08   5.562E-07
 295.51     296.52     2.494E-07  3.438E-06     3.687E-07   3.687E-06
 296.52     297.52     5.515E-07  7.070E-06     7.621E-07   7.621E-06
 297.52     298.52     2.976E-06  3.560E-05     3.857E-06   3.857E-05
 298.52     299.52     6.881E-06  7.791E-05     8.479E-06   8.479E-05
 299.52     300.52     1.608E-05  1.728E-04     1.888E-05   1.888E-04
 300.52     301.53     4.336E-05  4.455E-04     4.888E-05   4.888E-04
 301.53     302.53     7.306E-05  7.206E-04     7.937E-05   7.937E-04
 302.53     303.53     2.197E-04  2.085E-03     2.305E-04   2.305E-03
 303.53     304.53     3.169E-04  2.905E-03     3.221E-04   3.221E-03
 304.53     305.53     6.143E-04  5.445E-03     6.059E-04   6.059E-03
 305.53     306.54     7.357E-04  6.317E-03     7.053E-04   7.053E-03
 306.54     307.54     1.243E-03  1.036E-02     1.160E-03   1.160E-02
 307.54     308.54     1.831E-03  1.483E-02     1.666E-03   1.666E-02
 308.54     309.54     2.089E-03  1.643E-02     1.852E-03   1.852E-02
 309.54     310.55     2.703E-03  2.074E-02     2.345E-03   2.345E-02
 310.55     311.55     4.887E-03  3.648E-02     4.137E-03   4.137E-02
 311.55     312.55     5.295E-03  3.856E-02     4.386E-03   4.386E-02
 312.55     313.55     6.209E-03  4.415E-02     5.036E-03   5.036E-02
 313.55     314.55     7.603E-03  5.266E-02     6.027E-03   6.027E-02
 314.55     315.56     9.069E-03  6.151E-02     7.058E-03   7.058E-02
 315.56     316.56     7.726E-03  5.100E-02     5.873E-03   5.873E-02
 316.56     317.56     1.288E-02  8.326E-02     9.614E-03   9.614E-02
 317.56     318.56     1.135E-02  7.145E-02     8.280E-03   8.280E-02
 318.56     319.57     1.460E-02  9.028E-02     1.049E-02   1.049E-01
 319.57     320.57     1.703E-02  1.021E-01     1.191E-02   1.191E-01
 320.57     321.57     1.811E-02  1.070E-01     1.251E-02   1.251E-01
 321.57     322.57     1.996E-02  1.144E-01     1.344E-02   1.344E-01
 322.57     323.57     1.676E-02  9.380E-02     1.106E-02   1.106E-01
 323.57     324.58     2.346E-02  1.292E-01     1.527E-02   1.527E-01
 324.58     325.58     2.321E-02  1.237E-01     1.469E-02   1.469E-01
 325.58     326.58     3.372E-02  1.765E-01     2.102E-02   2.102E-01
 326.58     327.58     3.446E-02  1.766E-01     2.110E-02   2.110E-01
 327.58     328.58     3.245E-02  1.613E-01     1.938E-02   1.938E-01
 328.58     329.59     3.733E-02  1.827E-01     2.200E-02   2.200E-01
 329.59     330.59     4.277E-02  2.042E-01     2.470E-02   2.470E-01
 330.59     331.59     3.623E-02  1.683E-01     2.045E-02   2.045E-01
 331.59     332.59     3.981E-02  1.816E-01     2.214E-02   2.214E-01
 332.59     333.60     4.259E-02  1.900E-01     2.326E-02   2.326E-01
 333.60     334.60     3.908E-02  1.698E-01     2.089E-02   2.089E-01
 334.60     335.60     4.520E-02  1.927E-01     2.379E-02   2.379E-01
 335.60     336.60     3.988E-02  1.663E-01     2.062E-02   2.062E-01
 336.60     337.60     3.668E-02  1.493E-01     1.859E-02   1.859E-01
 337.60     338.61     4.562E-02  1.819E-01     2.275E-02   2.275E-01
 338.61     339.61     4.682E-02  1.829E-01     2.298E-02   2.298E-01
 339.61     340.61     5.468E-02  2.088E-01     2.635E-02   2.635E-01
 340.61     341.61     4.785E-02  1.791E-01     2.269E-02   2.269E-01
 341.61     342.62     5.390E-02  1.976E-01     2.515E-02   2.515E-01
 342.62     343.62     5.718E-02  2.053E-01     2.625E-02   2.625E-01
 343.62     344.62     4.310E-02  1.514E-01     1.945E-02   1.945E-01
 344.62     345.62     5.538E-02  1.909E-01     2.463E-02   2.463E-01
 345.62     346.62     5.378E-02  1.815E-01     2.353E-02   2.353E-01
 346.62     347.63     5.715E-02  1.892E-01     2.463E-02   2.463E-01
 347.63     348.63     5.374E-02  1.744E-01     2.282E-02   2.282E-01
 348.63     349.63     5.719E-02  1.821E-01     2.393E-02   2.393E-01
 349.63     350.63     6.500E-02  2.030E-01     2.680E-02   2.680E-01
 350.63     351.63     6.206E-02  1.901E-01     2.522E-02   2.522E-01
 351.63     352.64     6.538E-02  1.966E-01     2.619E-02   2.619E-01
 352.64     353.64     6.626E-02  1.956E-01     2.618E-02   2.618E-01
 353.64     354.64     7.667E-02  2.222E-01     2.988E-02   2.988E-01
 354.64     355.64     7.516E-02  2.138E-01     2.890E-02   2.890E-01
 355.64     356.65     7.591E-02  2.121E-01     2.880E-02   2.880E-01
 356.65     357.65     5.671E-02  1.556E-01     2.124E-02   2.124E-01
 357.65     358.65     5.515E-02  1.487E-01     2.039E-02   2.039E-01
 358.65     359.65     6.528E-02  1.730E-01     2.383E-02   2.383E-01
 359.65     360.65     8.395E-02  2.186E-01     3.026E-02   3.026E-01
 360.65     361.66     6.934E-02  1.775E-01     2.468E-02   2.468E-01
 361.66     362.66     7.023E-02  1.767E-01     2.470E-02   2.470E-01
 362.66     363.66     8.011E-02  1.982E-01     2.784E-02   2.784E-01
 363.66     364.66     8.591E-02  2.091E-01     2.950E-02   2.950E-01
 364.66     365.67     8.850E-02  2.119E-01     3.004E-02   3.004E-01
 365.67     366.67     1.105E-01  2.601E-01     3.706E-02   3.706E-01
 366.67     367.67     1.059E-01  2.455E-01     3.514E-02   3.514E-01
 367.67     368.67     9.731E-02  2.219E-01     3.192E-02   3.192E-01
 368.67     369.67     1.034E-01  2.322E-01     3.356E-02   3.356E-01
 369.67     370.68     1.117E-01  2.468E-01     3.585E-02   3.585E-01
 370.68     371.68     1.079E-01  2.347E-01     3.426E-02   3.426E-01
 371.68     372.68     9.468E-02  2.028E-01     2.975E-02   2.975E-01
 372.68     373.68     9.142E-02  1.929E-01     2.843E-02   2.843E-01
 373.68     374.68     9.117E-02  1.894E-01     2.806E-02   2.806E-01
 374.68     375.69     9.412E-02  1.927E-01     2.868E-02   2.868E-01
 375.69     376.69     1.033E-01  2.083E-01     3.116E-02   3.116E-01
 376.69     377.69     1.153E-01  2.291E-01     3.444E-02   3.444E-01
 377.69     378.69     1.451E-01  2.841E-01     4.291E-02   4.291E-01
 378.69     379.70     1.079E-01  2.083E-01     3.162E-02   3.162E-01
 379.70     380.70     1.170E-01  2.225E-01     3.395E-02   3.395E-01
 380.70     381.70     1.211E-01  2.272E-01     3.483E-02   3.483E-01
 381.70     382.70     9.183E-02  1.699E-01     2.617E-02   2.617E-01
 382.70     383.70     7.138E-02  1.302E-01     2.016E-02   2.016E-01
 383.70     384.71     9.024E-02  1.623E-01     2.526E-02   2.526E-01
 384.71     385.71     1.166E-01  2.070E-01     3.236E-02   3.236E-01
 385.71     386.71     1.027E-01  1.798E-01     2.825E-02   2.825E-01
 386.71     387.71     1.100E-01  1.900E-01     3.000E-02   3.000E-01
 387.71     388.72     1.083E-01  1.846E-01     2.930E-02   2.930E-01
 388.72     389.72     1.143E-01  1.922E-01     3.064E-02   3.064E-01
 389.72     390.72     1.353E-01  2.245E-01     3.598E-02   3.598E-01
 390.72     391.72     1.561E-01  2.557E-01     4.118E-02   4.118E-01
 391.72     392.72     1.346E-01  2.177E-01     3.523E-02   3.523E-01
 392.72     393.73     5.919E-02  9.450E-02     1.537E-02   1.537E-01
 393.73     394.73     1.043E-01  1.645E-01     2.688E-02   2.688E-01
 394.73     395.73     1.599E-01  2.489E-01     4.088E-02   4.088E-01
